Ticker,Sector
BHARTIARTL.NS,Communication Services
ASHOKLEY.NS,Industrials
AUROPHARMA.NS,Healthcare
SANWARIA.NS,Consumer Defensive
ALMONDZ.NS,Financial Services
SBIN.NS,Financial Services
BPCL.NS,Energy
MBECL.NS,Industrials
MAHABANK.NS,Financial Services
BOSCHLTD.NS,Consumer Cyclical
IDBI.NS,Financial Services
DABUR.NS,Consumer Defensive
TCIDEVELOP.NS,Real Estate
DRREDDY.NS,Healthcare
DPSCLTD.NS,Utilities
PRABHAT.NS,NO
MAHLIFE.NS,Real Estate
LPDC.NS,Real Estate
KAUSHALYA.NS,Industrials
IRB.NS,Industrials
HDIL.NS,Real Estate
HDFC.NS,Financial Services
GOENKA.NS,Consumer Cyclical
ENERGYDEV.NS,Utilities
SCHNEIDER.NS,Industrials
TATAELXSI.NS,Technology
SWARAJENG.NS,Consumer Cyclical
RECLTD.NS,Financial Services
PEL.NS,Healthcare
EVERONN.NS,NO
ESSELPACK.NS,NO
ENTEGRA.NS,NO
ADANIPORTS.NS,Industrials
OFSS.NS,Technology
LICHSGFIN.NS,Financial Services
SITASHREE.NS,NO
PFS.NS,Financial Services
PFC.NS,Financial Services
MUTHOOTFIN.NS,Financial Services
MAX.NS,NO
MAGMA.NS,NO
FACT.NS,Basic Materials
WEIZFOREX.NS,NO
GSPL.NS,Utilities
GAIL.NS,Utilities
POWERGRID.NS,Utilities
VHL.NS,Financial Services
HINDUNILVR.NS,Consumer Defensive
HINDPETRO.NS,Energy
HCC.NS,Industrials
HIRECT.NS,Industrials
SYNCOM.NS,NO
ROHLTD.NS,Consumer Cyclical
JUBLINDS.NS,Basic Materials
JISLJALEQS.NS,Industrials
ZODJRDMKJ.NS,Services
SBBJ.NS,NO
PCJEWELLER-EQ.NS,NO
JYOTHYLAB.NS,Consumer Defensive
JUBLFOOD.NS,Consumer Cyclical
JUBILANT.NS,NO
JSWSTEEL.NS,Basic Materials
JPPOWER.NS,Utilities
JPOLYINVST.NS,Financial Services
JKTYRE.NS,Consumer Cyclical
JKPAPER.NS,Basic Materials
JISLDVREQS.NS,Industrials
JINDCOT.NS,Consumer Cyclical
JINDALSAW.NS,Basic Materials
JBFIND.NS,Consumer Cyclical
JAIHINDPRO.NS,NO
JAGRAN.NS,Communication Services
JMFINANCIL-EQ.NS,NO
JAGSNPHARM-EQ.NS,NO
JAMNAAUTO.NS,Consumer Cyclical
JAICORPLTD.NS,Basic Materials
JMA.NS,Consumer Cyclical
JYOTISTRUC-EQ.NS,NO
JUSTDIAL.NS,Communication Services
JKIL.NS,Industrials
J&KBANK.NS,Financial Services
JUSTDIAL-EQ.NS,NO
J&KBANK-EQ.NS,NO
JAMNAAUTO-EQ.NS,NO
JSWSTEEL-P2.NS,NO
JCTEL-EQ.NS,NO
PCJEWELLER.NS,Consumer Cyclical
JSWHL-EQ.NS,NO
TARAJEWELS.NS,NO
JSWENERGY.NS,Utilities
JAYNECOIND-EQ.NS,NO
JKCEMENT.NS,Basic Materials
JUMBO-BZ.NS,NO
JKPAPER-EQ.NS,NO
JUNIORBEES.NS,NO
JINDCOT-EQ.NS,NO
JINDALPHOT.NS,Financial Services
JAIBALAJI-EQ.NS,NO
JAYAGROGN.NS,Basic Materials
JAIBALAJI.NS,Basic Materials
JINDWORLD.NS,Consumer Cyclical
JIKIND-BE.NS,NO
JMTAUTOLTD-EQ.NS,NO
JSWHL.NS,Industrials
JAIHINDPRO-EQ.NS,NO
KPRMILL.NS,Consumer Cyclical
KPIT.NS,NO
KOTAKBANK.NS,Financial Services
KTIL.NS,NO
KSK.NS,Utilities
KSERASERA.NS,Communication Services
KSCL.NS,Consumer Defensive
KOTHARIPRO.NS,Industrials
KOTARISUG.NS,Consumer Defensive
KOPRAN.NS,Healthcare
KNRCON.NS,Industrials
KITEX.NS,Consumer Cyclical
KIRLOSENG.NS,Industrials
KBIL.NS,NO
KGL.NS,Consumer Defensive
KESARENT.NS,Consumer Goods
KEC.NS,Industrials
KCPSUGIND.NS,Consumer Defensive
EKC.NS,Industrials
KSL.NS,Basic Materials
KANSAINER.NS,Basic Materials
SKUMARSYN.NS,NO
KICL-EQ.NS,NO
MRF.NS,Consumer Cyclical
TATASTEEL.NS,Basic Materials
RELIANCE.NS,Energy
NOCIL.NS,Basic Materials
ICIL.NS,Consumer Cyclical
TCS.NS,Technology
SURANAIND.NS,NO
SASKEN.NS,Technology
RELINFRA.NS,Utilities
PRAJIND.NS,Industrials
NICCO.NS,NO
MARUTI.NS,Consumer Cyclical
LUPIN.NS,Healthcare
CAIRN.NS,NO
ZENITHBIR.NS,NO
YESBANK.NS,Financial Services
XPROINDIA.NS,Basic Materials
VOLTAS.NS,Industrials
